Source;Target;Label;Weight
35;34;PEdge3534;0.28578
1;36;NEdge136;0.12585
36;2;PEdge362;0.89578
36;3;PEdge363;0.62431
36;4;PEdge364;0.62442
36;5;PEdge365;0.41486
36;6;PEdge366;0.68975
36;7;PEdge367;0.54505
36;8;PEdge368;0.70717
36;9;PEdge369;0.3997
36;10;PEdge3610;0.41833
36;11;PEdge3611;0.40881
36;12;PEdge3612;0.55856
36;13;PEdge3613;0.62439
36;14;PEdge3614;0.58689
36;15;PEdge3615;0.5473
36;16;PEdge3616;0.62422
36;17;PEdge3617;0.62394
36;18;PEdge3618;0.62445
36;19;PEdge3619;0.6245
36;20;PEdge3620;0.62434
36;21;PEdge3621;0.62472
36;22;PEdge3622;0.62417
36;23;PEdge3623;0.11034
36;24;PEdge3624;0.53456
36;25;PEdge3625;0.40145
36;26;PEdge3626;0.47453
36;27;PEdge3627;0.25218
36;28;PEdge3628;0.62435
36;29;PEdge3629;0.31084
36;30;PEdge3630;0.62441
36;31;PEdge3631;0.26404
36;32;PEdge3632;0.62442
36;33;PEdge3633;0.39671
36;34;PEdge3634;0.62445
36;35;PEdge3635;0.50646
1;37;NEdge137;0.073633
37;2;PEdge372;0.74643
37;3;PEdge373;0.64032
37;4;PEdge374;0.64052
37;5;PEdge375;0.43648
37;6;PEdge376;0.62043
37;7;PEdge377;0.51887
37;8;PEdge378;0.70682
37;9;PEdge379;0.37814
37;10;PEdge3710;0.46139
37;11;PEdge3711;0.53658
37;12;PEdge3712;0.56091
37;13;PEdge3713;0.64044
37;14;PEdge3714;0.61953
37;15;PEdge3715;0.52117
37;16;PEdge3716;0.64029
37;17;PEdge3717;0.64069
37;18;PEdge3718;0.64047
37;19;PEdge3719;0.6406
37;20;PEdge3720;0.64037
37;21;PEdge3721;0.64071
37;22;PEdge3722;0.64037
23;37;NEdge2337;0.0031915
37;24;PEdge3724;0.54231
37;25;PEdge3725;0.39494
37;26;PEdge3726;0.4451
37;27;PEdge3727;0.23549
37;28;PEdge3728;0.64047
37;29;PEdge3729;0.24771
37;30;PEdge3730;0.64065
37;31;PEdge3731;0.11838
37;32;PEdge3732;0.64052
37;33;PEdge3733;0.36868
37;34;PEdge3734;0.64048
37;35;PEdge3735;0.6329
37;36;PEdge3736;0.7258
38;1;PEdge381;0.33659
2;38;NEdge238;0.1052
3;38;NEdge338;0.10929
4;38;NEdge438;0.10943
38;5;PEdge385;0.039659
6;38;NEdge638;0.12954
7;38;NEdge738;0.20667
8;38;NEdge838;0.13991
9;38;NEdge938;0.011486
10;38;NEdge1038;0.12652
38;11;PEdge3811;0.016044
12;38;NEdge1238;0.19021
13;38;NEdge1338;0.10933
14;38;NEdge1438;0.10489
15;38;NEdge1538;0.20897
16;38;NEdge1638;0.10929
