ARS/USD,AUD/USD,ATS/USD,BEF/USD,BRL/USD,GBP/USD,BGN/USD,CAD/USD,CLP/USD,CNY/USD,COP/USD,HRK/USD,CYP/USD,CZK/USD,DKK/USD,NLG/USD,EEK/USD,EUR/USD,FIM/USD,FRF/USD,DEM/USD,GRD/USD,HKD/USD,HUF/USD,ISK/USD,INR/USD,IDR/USD,IEP/USD,ILS/USD,ITL/USD,JPY/USD,LUF/USD,MYR/USD,MTL/USD,MXN/USD,NZD/USD,NOK/USD,PKR/USD,PEN/USD,PHP/USD,XPT/USD,PLN/USD,PTE/USD,RON/USD,RUB/USD,SAR/USD,SGD/USD,SKK/USD,SIT/USD,ZAR/USD,KRW/USD,ESP/USD,XDR/USD,SEK/USD,CHF/USD,TWD/USD,THB/USD,TRY/USD
61.716,1.5108,12.743,37.358,4.3902,0.77663,1.8122,1.3254,806.53,7.0239,3393.3,6.9027,0.54201,23.199,6.9199,2.0408,14.49,0.92608,5.5062,6.0747,1.8112,315.56,7.7827,313.19,127.96,71.682,13664,0.72934,3.4292,1793.1,112.04,37.358,4.1831,0.39756,18.795,1.578,9.3141,153.69,3.3915,50.708,0.0010142,3.9681,185.66,4.4457,63.998,3.7504,1.4008,27.899,221.92,15.12,1207.1,154.09,0.73431,9.8178,0.98324,30.413,31.434,6.0994
61.835,1.5098,12.689,37.198,4.389,0.77162,1.8061,1.3224,802.58,7.0266,3393.3,6.8789,0.53969,23.143,6.8985,2.0321,14.428,0.92211,5.4826,6.0486,1.8035,314.21,7.788,311.3,127.71,71.909,13775,0.72622,3.4154,1785.5,111.69,37.198,4.1827,0.39586,18.913,1.5767,9.293,154.29,3.3899,50.749,0.00102459,3.9557,184.87,4.4363,64.194,3.7515,1.3985,27.78,220.97,15.012,1209.9,153.43,0.73281,9.7307,0.97883,30.414,31.549,6.1053
61.653,1.5133,12.683,37.181,4.3883,0.77388,1.8071,1.3279,807.17,7.0296,3431.8,6.8973,0.53945,23.271,6.9018,2.0312,14.422,0.9217,5.4802,6.046,1.8027,314.07,7.7928,311.93,128.71,71.934,13832,0.7259,3.4378,1784.7,110.75,37.181,4.225,0.39569,19.109,1.5771,9.3448,153.74,3.404,51.046,0.00103734,3.972,184.79,4.4408,65.446,3.7511,1.3997,27.767,220.88,15.141,1219.4,153.36,0.73243,9.7425,0.97812,30.449,31.725,6.1278
61.707,1.5156,12.664,37.125,4.3875,0.76942,1.8034,1.3281,810.74,7.0121,3433.2,6.8758,0.53863,23.261,6.8882,2.0281,14.4,0.92031,5.4719,6.0368,1.8,313.6,7.7894,311.13,128.45,71.751,13834,0.7248,3.4263,1782,110.22,37.125,4.2311,0.39509,19.087,1.5813,9.3726,153.94,3.4063,51.047,0.00104167,3.9661,184.51,4.4351,65.359,3.7517,1.3989,27.725,220.54,15.225,1215.1,153.13,0.73127,9.7297,0.97647,30.364,31.711,6.1401
62.031,1.5243,12.649,37.082,4.418,0.77407,1.7987,1.3307,810.48,7.0222,3440.7,6.8614,0.53801,23.309,6.871,2.0258,14.383,0.91925,5.4656,6.0299,1.7979,313.23,7.7955,312.03,128.11,71.582,13862,0.72397,3.4423,1779.9,110.43,37.082,4.2262,0.39463,19.18,1.5874,9.391,153.73,3.412,51.078,0.00108814,3.9633,184.29,4.4191,65.391,3.7527,1.3975,27.693,220.29,15.206,1214.1,152.95,0.7316,9.7345,0.97645,30.305,31.88,6.1578
62.13,1.5195,12.531,36.735,4.4745,0.77608,1.7854,1.3361,813.99,7.0063,3511.6,6.8124,0.53298,23.08,6.8215,2.0068,14.249,0.91065,5.4145,5.9734,1.7811,310.3,7.7952,308.89,127.17,71.679,14064,0.71719,3.4389,1763.3,109.97,36.735,4.2142,0.39094,19.4,1.5821,9.3893,153.74,3.4312,50.909,0.00109649,3.9367,182.57,4.391,65.98,3.752,1.3947,27.434,218.23,15.418,1210.2,151.52,0.72921,9.6539,0.97016,30.235,31.678,6.1828
62.284,1.5386,12.514,36.687,4.4943,0.78121,1.7798,1.3429,818.58,6.9906,3539.2,6.7973,0.53228,23.105,6.7999,2.0042,14.23,0.90945,5.4074,5.9656,1.7787,309.9,7.794,307.19,126.76,72.511,14286,0.71625,3.4628,1760.9,108.21,36.687,4.21,0.39043,19.763,1.6039,9.457,153.85,3.4549,50.985,0.00114811,3.9366,182.33,4.3799,67.145,3.7511,1.3948,27.398,217.94,15.673,1206.6,151.32,0.7282,9.696,0.96681,30.191,31.515,6.2373
62.348,1.5304,12.343,36.184,4.4879,0.78247,1.7582,1.3356,813.85,6.9599,3485.5,6.7274,0.52498,22.946,6.718,1.9767,14.035,0.89698,5.3332,5.8838,1.7543,305.65,7.7787,302.88,127.38,72.824,14209,0.70643,3.4903,1736.8,107.8,36.184,4.2028,0.38507,19.644,1.5978,9.3268,154.07,3.4432,50.802,0.00116686,3.8904,179.83,4.3246,66.713,3.7517,1.3892,27.022,214.95,15.581,1191.4,149.24,0.72461,9.5332,0.95714,29.906,31.435,6.2092
62.316,1.5154,12.331,36.15,4.4963,0.78091,1.7591,1.3363,805.53,6.9671,3450.3,6.7326,0.52448,22.913,6.7215,1.9748,14.021,0.89612,5.3281,5.8782,1.7527,305.35,7.7737,302.82,128.53,73.182,14216,0.70576,3.4601,1735.1,107.42,36.15,4.2056,0.38471,19.384,1.5897,9.2606,153.69,3.4291,50.789,0.00116009,3.8825,179.66,4.3251,66.055,3.7526,1.3888,26.997,214.75,15.406,1184.7,149.1,0.72415,9.4572,0.95682,29.868,31.537,6.113
62.2,1.5115,12.366,36.252,4.5489,0.77897,1.7623,1.3392,816.56,6.9281,3471.3,6.7445,0.52597,22.834,6.7336,1.9804,14.061,0.89867,5.3433,5.8949,1.7576,306.22,7.7725,301.83,128.14,73.421,14097,0.70776,3.4648,1740.1,107.39,36.252,4.1893,0.3858,19.465,1.5907,9.2678,153.36,3.4216,50.721,0.00114025,3.8718,180.17,4.3318,66.199,3.7523,1.3845,27.073,215.36,15.302,1185.1,149.53,0.7242,9.4911,0.95644,29.92,31.417,6.0845
